variety,planting_date,days_to_harvest,head_weight_kg,head_diameter_cm,soil_ph,irrigation_liters_week,pest_present,fertilizer_type,quality_grade
Цветная,2026-06-12,82,1.88,11.8,5.54,12.9,False,Органическое,B
Брокколи,2025-12-31,91,0.67,19.3,5.89,10.7,False,Органическое,A
Савойская,2024-09-22,124,1.5,21.5,5.34,15.8,False,Биоудобрение,B
Краснокочанная,2024-12-26,137,1.87,13.1,5.41,14.0,True,Органическое,C
Белокочанная,2026-01-11,128,2.48,25.0,6.6,14.8,False,Без удобрений,A
Цветная,2025-11-09,93,1.67,15.3,6.23,7.2,False,Комплексное,A
Цветная,2026-06-04,80,0.68,12.5,5.44,7.0,False,Биоудобрение,B
Пекинская,2025-03-13,45,2.05,16.5,6.28,9.8,False,Комплексное,B
Цветная,2024-04-16,119,1.68,13.0,7.53,12.5,False,Минеральное,B
Кольраби,2026-01-04,65,0.96,12.3,7.26,18.4,False,Органическое,B
Белокочанная,2024-07-09,119,1.66,19.8,6.4,19.5,False,Биоудобрение,A
Пекинская,2024-11-05,51,0.69,15.7,5.71,13.1,True,Минеральное,D
Пекинская,2026-03-07,83,1.03,10.9,5.82,4.6,True,Органическое,D
Пекинская,2025-10-11,69,1.51,15.5,7.04,8.4,False,Комплексное,B
Пекинская,2024-10-15,57,1.54,11.1,5.82,12.5,False,Минеральное,A
Брокколи,2025-10-12,87,0.9,13.8,6.97,11.0,False,Минеральное,A
Пекинская,2024-06-18,63,0.97,11.1,6.15,8.7,True,Биоудобрение,C
Белокочанная,2025-11-04,126,2.65,24.9,5.97,6.9,False,Комплексное,B
Брокколи,2024-04-30,76,1.33,9.5,7.55,9.3,False,Комплексное,A
Кольраби,2026-03-15,90,0.57,9.1,6.14,18.8,False,Биоудобрение,B
Брокколи,2025-04-05,98,0.99,11.0,5.37,12.5,False,Комплексное,B
Белокочанная,2026-02-25,99,1.88,24.9,5.93,10.0,False,Минеральное,B
Цветная,2026-03-14,98,1.57,12.6,7.25,18.6,False,Минеральное,B
Кольраби,2024-08-31,66,0.7,8.9,7.47,16.6,False,Минеральное,B
Кольраби,2025-01-04,60,0.95,12.2,6.85,18.6,False,Комплексное,B
Кольраби,2025-03-12,72,0.28,9.8,5.23,14.5,False,Биоудобрение,B
Краснокочанная,2026-05-23,108,1.23,13.5,6.62,2.0,False,Органическое,A
Савойская,2025-04-20,126,1.03,22.0,7.15,18.1,False,Комплексное,B
Краснокочанная,2026-04-11,111,0.99,16.2,7.01,21.3,False,Минеральное,B
Пекинская,2025-12-29,83,0.63,14.9,5.59,5.8,True,Биоудобрение,D
Белокочанная,2024-11-10,118,1.72,21.5,5.92,17.6,False,Комплексное,B
Цветная,2025-11-11,82,1.0,20.6,6.49,13.5,False,Органическое,A
Пекинская,2025-10-27,73,1.11,10.1,6.06,16.9,True,Органическое,C
Брокколи,2026-02-10,74,1.37,15.1,5.54,14.6,False,Комплексное,A
Савойская,2025-05-04,110,0.97,14.4,7.17,10.1,False,Биоудобрение,A
Краснокочанная,2025-02-01,114,1.97,14.6,6.74,10.7,False,Комплексное,A
Краснокочанная,2026-05-11,133,1.32,16.6,7.42,15.9,False,Комплексное,A
Брюссельская,2025-11-13,126,0.8,7.8,5.44,16.3,False,Органическое,B
Брюссельская,2024-03-10,111,0.39,6.9,6.85,11.7,True,Минеральное,C
Пекинская,2026-01-24,77,1.04,18.5,6.66,12.3,False,Комплексное,A
Пекинская,2025-01-07,50,0.66,12.0,6.73,15.9,False,Комплексное,A
Краснокочанная,2026-04-01,147,1.62,17.9,5.89,19.6,True,Биоудобрение,D
Краснокочанная,2025-04-20,141,2.15,14.5,5.23,15.8,True,Минеральное,C
Белокочанная,2025-11-12,101,1.57,25.9,6.28,17.5,False,Биоудобрение,A
Брокколи,2025-07-21,94,1.48,18.1,6.11,11.6,False,Органическое,A
Брюссельская,2024-10-05,125,1.02,3.8,5.21,10.3,False,Биоудобрение,C
Кольраби,2024-04-28,66,0.52,6.0,6.05,10.3,False,Без удобрений,B
Савойская,2025-04-25,122,1.64,16.5,5.5,10.7,False,Органическое,B
Брюссельская,2024-06-20,96,0.54,6.9,7.57,10.6,True,Комплексное,D
Белокочанная,2024-07-15,124,3.3,24.6,6.15,12.7,True,Органическое,C
Кольраби,2026-05-29,79,0.4,12.5,6.84,17.6,False,Минеральное,A
Цветная,2025-07-26,111,1.79,15.8,5.23,12.5,False,Минеральное,B
Брокколи,2024-11-09,76,1.62,11.1,6.68,12.7,False,Без удобрений,B
Краснокочанная,2026-02-16,109,1.58,16.2,6.95,11.0,False,Комплексное,A
Савойская,2025-05-11,138,2.54,14.2,5.24,15.5,False,Минеральное,B
Брокколи,2025-12-20,78,0.76,9.3,5.32,15.9,False,Комплексное,B
Цветная,2024-10-04,101,1.25,14.0,5.88,12.0,False,Органическое,A
Савойская,2025-02-03,110,2.21,16.7,6.07,15.4,False,Комплексное,B
Савойская,2025-12-05,107,1.23,18.9,6.98,16.9,False,Комплексное,A
Цветная,2025-01-03,82,1.29,18.1,6.94,15.7,False,Без удобрений,B
Цветная,2025-03-10,106,1.67,13.0,6.28,11.2,True,Минеральное,C
Брюссельская,2024-04-16,123,0.92,7.1,7.49,22.9,False,Комплексное,B
Брокколи,2025-09-27,73,1.24,9.6,7.07,10.4,False,Органическое,A
Брюссельская,2025-01-05,129,0.46,3.8,7.25,12.1,True,Органическое,C
Савойская,2024-12-02,103,0.77,14.8,7.3,23.6,False,Органическое,B
Краснокочанная,2026-02-21,104,2.41,14.0,7.32,12.8,False,Органическое,A
Брюссельская,2024-08-28,127,0.42,7.2,5.81,18.8,False,Биоудобрение,B
Пекинская,2026-06-15,70,0.87,11.8,6.26,11.8,False,Комплексное,A
Кольраби,2024-06-04,70,0.61,5.8,6.39,5.9,True,Минеральное,C
Брокколи,2026-02-02,85,0.63,15.6,6.66,14.4,False,Биоудобрение,A
Краснокочанная,2025-03-22,108,1.61,14.8,6.12,13.5,False,Биоудобрение,A
Белокочанная,2026-05-21,137,1.62,16.5,7.52,14.8,False,Органическое,B
Савойская,2025-01-09,102,1.05,13.8,6.0,13.8,False,Комплексное,A
Брокколи,2024-07-24,82,0.69,18.3,5.2,13.5,False,Органическое,B
Краснокочанная,2025-07-17,140,1.9,16.2,5.61,14.4,False,Органическое,B
Белокочанная,2025-11-10,134,3.05,22.6,5.56,9.7,False,Минеральное,B
Брюссельская,2025-07-25,90,0.99,7.3,6.79,19.7,False,Без удобрений,C
Савойская,2025-04-04,122,2.21,15.8,6.27,16.2,False,Без удобрений,C
Савойская,2026-04-25,135,1.65,21.0,6.12,11.2,False,Минеральное,A
Брокколи,2025-09-14,97,1.4,15.3,6.39,8.2,False,Минеральное,A
Пекинская,2026-02-18,77,1.62,16.1,5.41,11.3,False,Минеральное,B
Савойская,2024-12-27,108,2.43,15.1,6.3,15.6,False,Минеральное,B
Савойская,2025-03-22,136,0.82,17.0,6.96,11.6,True,Без удобрений,D
Цветная,2024-07-23,84,1.34,12.9,5.39,17.6,False,Органическое,B
Кольраби,2025-04-26,62,0.71,5.6,6.93,7.6,True,Без удобрений,D
Белокочанная,2025-04-10,126,2.77,22.3,7.2,9.5,False,Комплексное,B
Краснокочанная,2025-08-17,125,1.23,19.7,6.11,19.3,False,Без удобрений,B
Кольраби,2025-07-02,86,0.34,6.7,5.95,8.3,True,Комплексное,D
Цветная,2024-03-29,90,0.96,12.2,5.77,14.0,False,Без удобрений,B
Краснокочанная,2025-10-05,123,0.86,14.9,6.56,6.5,True,Органическое,C
Пекинская,2025-01-17,71,1.51,12.9,7.0,11.4,False,Без удобрений,C
Белокочанная,2025-10-23,137,1.82,21.9,7.11,5.0,True,Органическое,D
Пекинская,2026-06-05,78,1.85,12.0,6.84,17.0,False,Минеральное,A
Цветная,2025-11-29,84,2.22,17.0,7.25,5.4,False,Минеральное,B
Кольраби,2024-06-08,60,0.61,9.1,7.13,18.1,False,Биоудобрение,A
Краснокочанная,2024-12-12,130,3.47,23.7,6.58,12.1,False,Минеральное,A
Краснокочанная,2025-10-04,143,1.6,19.2,6.37,10.8,False,Комплексное,A
Цветная,2024-05-25,109,2.51,12.8,6.84,9.9,False,Комплексное,A
Белокочанная,2024-08-06,115,3.24,21.0,7.25,12.4,False,Без удобрений,B
Кольраби,2024-06-20,69,0.6,7.3,5.41,12.0,False,Комплексное,B
Пекинская,2026-02-18,54,1.25,12.0,6.98,16.3,False,Биоудобрение,A
Брокколи,2024-05-03,63,1.27,14.7,7.45,10.3,False,Без удобрений,B
Краснокочанная,2024-07-24,136,1.45,21.3,5.37,10.2,False,Комплексное,B
Брокколи,2025-02-14,96,1.33,10.9,7.51,12.2,False,Минеральное,B
Брокколи,2024-03-11,69,0.98,20.4,6.55,15.1,False,Минеральное,A
Цветная,2024-03-15,115,1.05,15.2,5.56,10.8,False,Без удобрений,B
Савойская,2025-12-10,121,2.32,20.5,6.28,14.8,False,Биоудобрение,A
Пекинская,2024-09-12,66,1.05,15.1,7.53,12.4,False,Без удобрений,B
Кольраби,2025-04-28,62,1.09,10.2,6.18,10.0,False,Комплексное,A
Савойская,2025-09-07,134,2.74,22.1,6.25,11.7,False,Комплексное,A
Краснокочанная,2024-05-31,134,1.42,17.7,6.76,9.9,False,Комплексное,A
Брюссельская,2025-05-05,102,0.59,7.4,5.71,13.9,True,Комплексное,C
Брокколи,2024-03-08,81,1.49,16.9,7.46,14.0,False,Комплексное,B
Брокколи,2024-04-03,101,0.83,10.9,5.24,15.2,False,Комплексное,B
Брокколи,2024-09-14,100,0.99,16.9,6.68,12.0,False,Минеральное,A
Савойская,2025-05-22,125,2.02,17.8,5.75,12.5,True,Минеральное,C
Цветная,2024-09-25,111,1.68,20.6,5.42,13.6,False,Органическое,B
Савойская,2025-06-08,107,2.14,16.9,6.72,13.4,False,Органическое,A
Брюссельская,2026-01-05,103,0.34,6.8,5.32,14.9,True,Биоудобрение,D
Брюссельская,2024-09-01,123,1.03,5.7,5.42,9.2,False,Минеральное,B
Пекинская,2026-02-02,64,0.57,11.0,6.21,17.4,False,Органическое,B
Белокочанная,2024-06-29,102,2.46,17.0,7.54,17.6,False,Минеральное,B
Белокочанная,2025-08-13,114,1.5,13.2,6.43,17.6,True,Органическое,B
Брюссельская,2025-07-07,122,0.77,7.8,5.68,18.3,False,Минеральное,B
Пекинская,2026-02-02,69,0.67,10.1,7.23,10.9,True,Комплексное,D
Кольраби,2025-05-08,71,0.69,8.2,6.63,12.5,True,Минеральное,B
Савойская,2024-04-04,130,1.55,13.7,7.5,12.9,False,Комплексное,A
Савойская,2025-03-02,100,1.22,12.1,5.79,13.8,True,Органическое,C
Цветная,2024-10-25,87,1.72,20.4,6.55,8.9,False,Без удобрений,A
Брокколи,2026-01-28,91,0.52,12.6,7.01,11.5,False,Комплексное,A
Цветная,2025-10-27,70,2.42,14.7,6.12,10.1,False,Комплексное,A
Белокочанная,2025-02-09,107,2.32,20.3,6.75,14.6,False,Комплексное,A
Кольраби,2025-11-18,65,0.88,12.3,5.31,9.6,False,Комплексное,A
Белокочанная,2024-07-21,104,3.35,23.8,5.45,10.3,False,Органическое,B
Белокочанная,2026-02-03,99,1.82,20.3,7.28,12.6,True,Биоудобрение,B
Савойская,2024-07-20,125,1.84,17.8,6.6,15.6,True,Минеральное,B
Кольраби,2026-01-07,73,0.84,8.4,6.38,11.7,False,Без удобрений,A
Пекинская,2026-02-10,76,0.6,9.2,5.39,14.4,True,Органическое,D
Цветная,2026-04-18,80,0.97,14.5,7.47,11.5,False,Без удобрений,C
Пекинская,2026-05-08,51,0.76,15.6,6.16,16.8,False,Биоудобрение,A
Кольраби,2024-09-08,90,0.27,8.6,5.84,8.1,False,Без удобрений,B
Цветная,2024-04-24,82,1.28,16.2,6.26,12.1,False,Биоудобрение,A
Кольраби,2025-08-14,58,1.01,10.8,6.24,10.6,False,Органическое,B
Брюссельская,2024-10-18,108,0.78,4.7,7.32,11.7,False,Органическое,B
Брюссельская,2026-03-22,108,0.47,6.7,5.21,16.5,False,Комплексное,A
Кольраби,2024-07-24,65,0.3,10.1,7.51,10.9,True,Биоудобрение,D
Кольраби,2025-10-19,80,0.59,7.7,5.2,16.2,True,Без удобрений,D
Краснокочанная,2024-06-11,116,2.56,16.9,5.93,12.6,False,Биоудобрение,B
Брюссельская,2026-02-26,120,0.48,6.6,6.0,7.1,False,Комплексное,B
Брокколи,2024-10-12,87,0.91,18.2,6.78,16.0,False,Комплексное,A
Краснокочанная,2024-12-06,134,1.35,21.7,7.31,9.3,False,Биоудобрение,C
Брокколи,2024-12-08,87,1.48,14.7,5.94,17.7,False,Комплексное,A
Краснокочанная,2024-03-09,143,1.97,13.2,6.4,11.2,True,Биоудобрение,C
Брюссельская,2024-03-16,94,0.62,6.3,6.29,14.5,True,Минеральное,B
Цветная,2024-12-16,115,0.93,20.2,7.08,2.9,False,Биоудобрение,B
Краснокочанная,2024-12-23,128,2.08,24.1,5.73,9.3,False,Комплексное,B
Брюссельская,2024-08-25,102,0.64,6.1,6.55,11.5,False,Комплексное,A
Брюссельская,2025-10-02,98,0.48,6.3,7.43,10.5,False,Комплексное,B
Цветная,2025-06-23,71,2.0,14.8,6.05,3.0,False,Биоудобрение,B
Брюссельская,2026-05-15,109,0.4,8.1,5.78,10.9,False,Минеральное,B
Кольраби,2026-06-05,65,0.4,6.2,7.03,5.4,True,Органическое,D
Цветная,2024-05-02,105,0.93,18.3,5.49,8.9,False,Комплексное,B
Савойская,2025-01-03,107,1.27,13.5,6.71,11.2,False,Комплексное,B
Краснокочанная,2024-11-09,108,1.26,15.4,5.69,5.5,False,Без удобрений,C
Брюссельская,2025-11-18,101,0.5,7.6,6.84,16.5,False,Комплексное,B
Пекинская,2025-07-01,62,1.09,15.6,6.35,12.5,False,Минеральное,A
Брокколи,2024-07-30,106,0.7,14.6,5.27,8.0,True,Органическое,D
Кольраби,2024-12-09,91,0.57,6.7,5.22,15.6,False,Органическое,B
Цветная,2025-06-14,95,0.88,22.0,6.92,13.7,False,Органическое,A
Савойская,2025-10-11,132,2.72,16.5,6.9,7.1,False,Комплексное,A
Белокочанная,2024-03-31,125,1.94,16.2,7.24,14.0,True,Биоудобрение,C
Пекинская,2024-06-16,50,0.56,11.6,7.36,16.9,False,Минеральное,A
Кольраби,2026-04-21,87,0.44,10.9,6.1,12.3,True,Без удобрений,C
Брюссельская,2025-07-16,106,0.44,3.6,6.25,12.4,True,Комплексное,B
Белокочанная,2026-06-08,113,1.86,22.7,5.54,19.9,False,Комплексное,B
Кольраби,2024-09-11,90,0.97,12.2,7.2,8.9,False,Комплексное,B
Краснокочанная,2025-10-04,145,1.89,11.7,5.39,13.7,True,Органическое,D
Брюссельская,2025-04-04,126,0.48,5.4,6.89,20.4,False,Без удобрений,B
Белокочанная,2025-09-11,91,1.4,20.5,6.87,16.5,False,Органическое,A
Белокочанная,2024-07-21,94,2.14,15.8,5.69,14.5,False,Биоудобрение,B
Белокочанная,2025-02-18,127,2.18,13.2,7.55,18.1,False,Без удобрений,C
Кольраби,2025-08-02,70,0.31,7.4,5.74,10.3,False,Комплексное,A
Брокколи,2026-01-28,68,0.92,13.5,6.84,17.6,False,Минеральное,A
Цветная,2025-02-24,85,1.47,19.6,5.66,11.7,False,Минеральное,B
Белокочанная,2026-05-31,108,1.7,16.6,5.24,11.6,True,Органическое,D
Брюссельская,2024-07-11,128,0.51,6.9,6.65,11.0,True,Органическое,C
Пекинская,2025-05-29,78,1.69,11.3,6.91,19.5,False,Комплексное,B
Цветная,2025-04-25,103,1.07,19.2,6.89,10.7,False,Органическое,B
Савойская,2024-04-06,128,2.07,14.0,7.55,11.2,False,Без удобрений,C
Краснокочанная,2024-05-01,102,1.6,17.3,5.87,9.4,False,Минеральное,B
Брюссельская,2024-04-02,106,1.26,6.8,6.5,12.5,False,Биоудобрение,A
Брокколи,2025-05-12,78,1.4,18.2,7.08,19.0,False,Минеральное,B
Брюссельская,2024-08-14,109,0.82,7.1,7.5,2.0,False,Биоудобрение,C
Брюссельская,2025-02-09,128,0.4,5.6,6.57,16.1,False,Органическое,A
Савойская,2025-05-29,130,1.45,13.7,6.31,8.8,False,Минеральное,A
Цветная,2024-05-05,84,1.92,12.9,6.26,12.6,False,Минеральное,A
Краснокочанная,2025-12-31,148,1.36,21.7,5.29,9.8,False,Без удобрений,C
Белокочанная,2026-01-24,101,1.28,17.0,7.23,15.9,True,Органическое,D
Цветная,2025-10-06,79,0.82,19.7,6.09,14.8,False,Комплексное,A
Цветная,2025-06-25,81,2.19,12.1,7.46,12.7,False,Органическое,B
Цветная,2024-10-07,115,0.76,10.7,6.11,7.9,True,Комплексное,C
Брокколи,2025-09-03,97,0.86,11.5,6.96,15.8,True,Минеральное,C
Пекинская,2025-01-31,53,1.66,13.3,5.78,13.4,False,Комплексное,A
Краснокочанная,2025-02-24,150,2.17,18.8,6.55,16.4,False,Органическое,A
Пекинская,2026-05-05,67,0.95,10.8,7.38,10.3,False,Комплексное,B
Кольраби,2025-12-08,82,0.53,10.7,7.32,13.8,False,Органическое,A
Савойская,2024-04-04,132,2.1,19.6,7.2,15.4,True,Минеральное,C
Пекинская,2026-02-28,51,1.93,9.8,5.9,9.1,False,Комплексное,A
Кольраби,2025-04-23,66,1.04,11.4,6.71,12.8,False,Комплексное,A
Савойская,2024-03-08,127,2.43,15.8,6.62,9.0,False,Минеральное,A
Кольраби,2025-02-13,76,0.45,7.9,5.32,8.1,False,Биоудобрение,B
Пекинская,2025-05-15,56,0.73,11.5,6.45,8.1,True,Органическое,C
Брюссельская,2025-11-11,126,0.88,3.6,7.01,18.3,True,Органическое,D
Пекинская,2024-03-07,72,1.65,13.6,6.37,14.7,False,Биоудобрение,A
Краснокочанная,2026-03-04,108,3.06,20.9,6.9,15.4,False,Органическое,B
Краснокочанная,2026-04-02,140,2.56,21.3,7.1,12.5,False,Органическое,B
Белокочанная,2025-05-18,132,1.34,21.1,5.44,11.6,False,Минеральное,B
Брокколи,2024-10-12,78,0.65,16.7,6.82,12.8,False,Комплексное,A
Пекинская,2024-03-04,61,1.08,12.8,6.24,7.5,False,Без удобрений,B
Савойская,2025-01-02,134,1.47,17.1,7.22,17.2,False,Комплексное,B
Брюссельская,2025-05-04,116,0.76,4.6,7.53,10.3,True,Минеральное,C
Кольраби,2026-06-03,73,0.72,10.6,7.27,8.1,True,Органическое,D
Брюссельская,2026-01-21,107,0.81,4.5,5.96,9.6,False,Биоудобрение,A
Кольраби,2025-04-24,77,0.34,8.7,5.73,16.5,False,Без удобрений,C
Брокколи,2024-06-01,63,0.9,11.6,7.07,11.1,False,Без удобрений,B
Брокколи,2026-03-06,76,1.42,10.3,5.75,15.8,False,Органическое,B
Краснокочанная,2025-07-27,149,2.73,14.5,6.16,10.7,False,Органическое,A
Брокколи,2026-01-01,92,1.13,14.7,6.16,16.4,False,Без удобрений,C
Савойская,2024-06-06,115,1.72,20.9,6.97,13.7,False,Органическое,A
Краснокочанная,2024-11-26,128,2.27,17.8,7.53,9.5,False,Органическое,B
Пекинская,2025-03-27,54,0.96,13.7,5.24,9.0,False,Минеральное,B
Кольраби,2025-03-14,64,0.34,7.3,6.34,15.7,True,Комплексное,B
Пекинская,2024-05-25,61,0.59,13.4,5.54,9.6,False,Минеральное,B
Савойская,2024-04-07,134,1.95,17.2,5.97,9.3,True,Комплексное,C
Цветная,2025-06-16,76,1.04,10.1,6.9,5.1,False,Без удобрений,C
Краснокочанная,2024-08-18,141,2.95,18.7,5.67,14.3,False,Минеральное,B
Брокколи,2024-03-10,93,0.88,17.6,5.91,9.9,False,Комплексное,A
Брюссельская,2025-08-18,120,0.9,8.8,6.84,16.2,False,Комплексное,B
Савойская,2024-08-16,99,3.12,13.6,6.46,13.3,False,Органическое,A
Краснокочанная,2025-09-02,140,2.01,15.2,6.3,17.6,False,Без удобрений,B
Брюссельская,2024-12-17,115,1.27,6.3,7.17,16.6,False,Комплексное,B
Савойская,2024-06-14,136,1.92,16.8,6.95,12.4,True,Комплексное,B
Брюссельская,2026-06-05,104,1.08,3.6,6.97,6.5,False,Без удобрений,C
Савойская,2025-06-30,128,1.31,16.2,7.3,9.2,True,Минеральное,C
Пекинская,2025-09-25,65,1.44,18.1,6.14,13.9,False,Комплексное,A
Брюссельская,2026-02-27,99,0.8,5.3,5.54,9.0,False,Органическое,B
Цветная,2025-06-21,82,1.46,12.9,7.05,10.6,False,Комплексное,A
Кольраби,2025-03-05,75,0.58,6.4,6.46,16.4,True,Минеральное,C
Кольраби,2025-04-12,59,1.02,12.7,5.31,12.0,False,Биоудобрение,B
Кольраби,2024-08-25,56,0.7,10.1,6.34,17.7,False,Без удобрений,B
Савойская,2024-05-24,101,2.42,15.5,6.21,13.8,False,Без удобрений,B
Белокочанная,2025-02-04,128,3.06,19.1,7.21,15.0,False,Биоудобрение,B
Брокколи,2026-01-13,65,0.67,10.1,6.81,19.9,False,Комплексное,A
Брокколи,2024-08-25,67,0.9,15.1,6.72,18.2,False,Минеральное,B
Кольраби,2024-05-30,58,0.8,11.2,5.48,18.4,False,Минеральное,B
Краснокочанная,2026-03-12,149,2.54,15.2,7.46,10.9,False,Комплексное,A
Савойская,2024-12-11,108,2.62,14.8,5.54,11.9,False,Биоудобрение,B
Цветная,2025-10-14,80,0.86,21.4,6.07,13.7,False,Комплексное,A
Пекинская,2026-02-18,77,1.23,15.3,6.24,9.3,False,Органическое,B
Пекинская,2024-11-20,76,0.76,14.3,5.72,12.4,False,Комплексное,A
Белокочанная,2025-01-25,115,1.76,22.3,6.88,7.5,True,Минеральное,D
Савойская,2025-06-22,122,2.45,19.6,6.51,13.1,False,Минеральное,A
Цветная,2025-07-08,102,0.92,16.6,6.83,9.7,False,Комплексное,A
Белокочанная,2024-08-15,102,3.57,21.1,6.43,20.4,False,Биоудобрение,B
Белокочанная,2024-06-01,90,3.13,16.7,5.94,13.7,False,Органическое,B
Савойская,2024-10-28,123,0.67,12.9,7.26,7.1,True,Минеральное,C
Брокколи,2026-02-14,67,0.94,12.1,5.71,9.2,False,Органическое,B
Цветная,2024-12-15,101,1.46,21.2,7.17,12.5,False,Без удобрений,B
Савойская,2026-04-26,125,1.99,16.8,5.76,9.9,True,Минеральное,C
Пекинская,2025-01-04,69,1.39,14.1,6.24,9.9,False,Органическое,A
Савойская,2024-08-15,101,2.31,16.8,6.16,11.1,False,Органическое,A
Савойская,2025-10-10,122,2.59,17.8,6.42,12.8,False,Комплексное,A
Кольраби,2025-07-28,66,1.08,10.5,6.09,9.4,False,Минеральное,A
Савойская,2024-03-08,124,1.61,18.7,6.01,17.9,False,Комплексное,B
Кольраби,2025-03-11,59,0.69,7.3,5.32,9.9,False,Комплексное,B
Цветная,2024-12-30,89,0.84,15.2,6.73,9.9,True,Комплексное,C
Кольраби,2025-05-16,89,0.7,6.4,7.34,10.5,False,Биоудобрение,A
Краснокочанная,2025-03-27,125,1.21,24.9,6.43,12.4,False,Органическое,A
Краснокочанная,2025-05-18,136,3.11,15.8,7.52,14.4,False,Комплексное,B
Кольраби,2024-10-07,57,0.75,12.0,7.03,6.9,False,Органическое,B
Брокколи,2024-09-29,103,0.74,11.1,5.24,11.2,False,Минеральное,B
Краснокочанная,2025-11-17,121,2.4,18.6,5.89,11.2,False,Комплексное,B
Цветная,2025-02-18,80,1.6,14.5,7.17,17.5,False,Минеральное,A
Краснокочанная,2025-12-07,119,1.91,16.4,6.37,14.7,False,Минеральное,A
Савойская,2025-11-30,134,1.55,18.7,6.04,2.0,True,Биоудобрение,D
Брокколи,2025-11-12,80,0.58,10.2,7.48,15.9,False,Без удобрений,B
Брокколи,2025-09-15,83,1.34,16.8,6.18,13.0,False,Органическое,A
Цветная,2025-07-28,98,0.97,19.4,6.49,6.8,False,Минеральное,A
Цветная,2026-04-21,96,1.48,17.9,6.31,17.1,False,Комплексное,A
Краснокочанная,2025-11-04,140,2.24,15.4,6.57,12.3,False,Органическое,A
Брокколи,2025-09-17,75,0.78,19.0,6.43,16.1,False,Комплексное,A
Брюссельская,2024-05-06,106,1.15,8.3,7.35,14.2,False,Комплексное,A
Цветная,2024-08-11,97,2.38,21.6,5.79,12.7,False,Комплексное,A
Брокколи,2024-11-22,62,0.82,17.0,7.32,6.8,False,Биоудобрение,B
Белокочанная,2025-03-08,96,1.91,18.3,6.16,18.1,False,Комплексное,B
Краснокочанная,2026-03-10,114,1.72,16.8,5.61,9.9,False,Комплексное,A
Кольраби,2026-04-10,72,0.84,10.6,5.79,12.8,False,Комплексное,A
Брюссельская,2024-03-27,101,0.89,5.3,5.73,10.4,False,Биоудобрение,A
Савойская,2026-04-01,109,0.91,15.3,7.13,16.8,False,Органическое,A
Брюссельская,2025-03-08,100,1.41,7.3,6.93,12.6,False,Комплексное,B
Цветная,2025-03-23,95,0.72,20.7,7.28,10.6,False,Органическое,B
Пекинская,2024-08-01,74,1.2,15.0,5.87,14.2,False,Органическое,B
Пекинская,2026-03-30,54,0.77,15.1,5.69,10.9,True,Органическое,D
Краснокочанная,2026-05-27,147,2.88,22.7,5.33,10.2,False,Комплексное,B
Савойская,2024-04-11,101,2.59,14.4,7.55,12.7,False,Комплексное,A
Пекинская,2025-10-21,49,0.66,9.4,7.03,11.2,False,Без удобрений,B
Пекинская,2025-11-03,73,1.41,10.3,6.37,8.2,False,Без удобрений,B
Кольраби,2024-03-01,86,0.67,13.5,5.8,10.3,False,Органическое,B
Пекинская,2025-02-13,56,1.23,11.7,5.86,9.8,False,Биоудобрение,B
Савойская,2024-08-31,138,1.96,19.6,5.36,9.9,False,Минеральное,B
Пекинская,2024-10-05,58,1.28,11.4,5.94,10.7,False,Комплексное,A
Савойская,2024-08-09,121,2.6,16.2,6.66,18.5,False,Комплексное,A
Брюссельская,2025-03-15,119,0.81,7.8,5.55,11.1,False,Минеральное,B
Белокочанная,2025-04-23,135,1.59,21.5,6.05,16.7,False,Без удобрений,C
Белокочанная,2025-01-24,129,2.73,24.9,6.23,9.2,False,Комплексное,A
Цветная,2026-03-11,112,1.29,20.1,6.35,12.2,False,Без удобрений,B
Брокколи,2024-04-30,69,0.9,18.4,5.44,10.9,False,Биоудобрение,B
Брокколи,2024-08-03,81,1.05,16.5,7.3,8.6,False,Минеральное,B
Брюссельская,2026-02-05,113,1.32,5.8,5.25,13.2,False,Комплексное,B
Пекинская,2024-09-05,61,0.84,14.8,5.97,13.5,False,Биоудобрение,A
Брокколи,2025-05-12,92,1.01,16.1,6.15,11.7,False,Биоудобрение,A
Цветная,2026-05-19,79,1.76,17.7,6.49,12.3,True,Без удобрений,B
Краснокочанная,2025-10-09,129,2.63,18.0,7.41,3.3,False,Комплексное,C
Савойская,2025-12-27,122,2.62,18.0,5.99,15.2,False,Комплексное,A
Брокколи,2024-03-20,83,1.01,16.1,5.22,12.0,False,Минеральное,B
Цветная,2026-03-03,72,1.38,19.8,7.28,17.0,False,Органическое,A
Цветная,2024-05-10,97,2.51,14.6,5.99,11.8,False,Органическое,A
Белокочанная,2024-07-19,138,2.94,15.3,7.31,14.9,False,Без удобрений,B
Пекинская,2024-09-27,78,0.69,15.6,7.05,11.3,False,Минеральное,A
Цветная,2026-04-07,106,0.89,10.4,7.59,10.6,True,Минеральное,C
Брокколи,2025-04-14,81,0.61,15.0,7.51,16.1,False,Без удобрений,B
Кольраби,2024-03-17,72,0.42,6.4,7.48,12.1,False,Органическое,A
Кольраби,2026-04-20,84,0.85,9.2,5.29,10.7,False,Органическое,B
Савойская,2026-03-30,96,1.97,17.6,7.14,11.1,False,Комплексное,B
Брюссельская,2025-11-27,99,1.06,3.8,5.97,13.7,False,Без удобрений,B
Савойская,2024-08-09,127,1.57,15.5,5.44,11.4,False,Без удобрений,B
